movie_name,year,runtime,rating,detail_about_movie,director,actor_1,actor_2,votes,metascore,gross_collection,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
Jai Bhim,2021,164,9.4,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,Suriya,Lijo Mol Jose,163431,82.44954128440367,32.285,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shawshank Redemption,1994,142,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Tim Robbins,Morgan Freeman,2515762,80.0,28.34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,1972,175,9.2,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael.",Francis Ford Coppola,Marlon Brando,Al Pacino,1732749,100.0,134.97,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,2008,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,Christian Bale,Heath Ledger,2466041,84.0,534.86,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,1974,202,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Al Pacino,Robert De Niro,1202401,90.0,57.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,1957,96,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,Henry Fonda,Lee J. Cobb,742970,96.0,4.36,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,201,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,Elijah Wood,Viggo Mortensen,1737140,94.0,377.85,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,1994,154,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta,Uma Thurman,1939304,94.0,107.93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schindler's List,1993,195,8.9,"In German-occupied Poland during World War II, industrialist  gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,Liam Neeson,Ralph Fiennes,1286186,94.0,96.9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inception,2010,148,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,2211491,74.0,292.58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
